GoldRecordId,SnapshotDate,Geography,BasketCategory,ProductName,UOM,AveragePrice,PreviousMonthPrice,MoM_AbsoluteChange,MoM_PercentageChange
7ced2b4e31c5d875c73831eace55d36e524af87e8a1f027840c739897e73931e,2017-01-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,5.84,,,
3c82fd2612785162c6bcc2f8738c2bcea31bb993a19a48a7feec85893190147d,2017-02-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.38,5.84,0.54,9.25
41385eb5463b917bf7aad7db3d0cf252e2ae6bfd9220d4ec0f7148be535d200f,2017-03-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.48,6.38,0.10,1.57
01c2cd47172941b3b4c24f543b84ddb3b767ac5b06609cfc57d11a33bc3817f6,2017-04-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.41,6.48,-0.07,-1.08
0ea1542cd8509d6896189fb5ba617dbf8cbf3984497d4424724438782e3a591d,2017-05-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.21,6.41,-0.20,-3.12
05239f77afad2e9d74d1cef265be95123584200a215503880be9a7edbd152bda,2017-06-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,5.66,6.21,-0.55,-8.86
e071259d95773febfb33da63721ef5b76d2190a71d66fd72bf8d1df4c2faf0fc,2017-07-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.11,5.66,0.45,7.95
43c2faad7fcb2a34c27517d16b9386debcb8b65c2b1a9c47231aa7b2cbaaade6,2017-08-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.55,6.11,0.44,7.20
2d176c555ab788473b910b0b687accb7254c626452213c956bbae96a7a33cf78,2017-09-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.44,6.55,-0.11,-1.68
9f74eb5cb52e45c44df7e891ccfc5898127eda64bcc0849b49c59a3f58c6121b,2017-10-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.17,6.44,-0.27,-4.19
74c884e19697a304566e68b8fd4f73a47aa8ac42564e0df1e684cfabea312f6a,2017-11-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,5.61,6.17,-0.56,-9.08
bbb7c1ac646686b4fe43b0840e7b7904a1cd53e34f4725105c04b7968d71b9f4,2017-12-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,5.92,5.61,0.31,5.53
76af979b27b3e31156159f39e990b373276e71b2d221fce20a5e63ddafed8666,2018-01-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.19,5.92,0.27,4.56
9f22782ae1f68a6c67ac8793e11445fef45c9705e8c8aaf3cc6d77f9c18f9add,2018-02-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.13,6.19,-0.06,-0.97
9f3ee5d9e3e3f60519f5e4b302744f7913126fec63af44cffbf6e2270b2d7726,2018-03-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,5.82,6.13,-0.31,-5.06
36b8cc4ebac982df637ac86f22ab81067cf9dee88c8d7befdc9f5b5790cdd1a3,2018-04-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.21,5.82,0.39,6.70
1c796d2a29744a05ecc0fc65757ecc11a33080464dc8223e2d260ce429b0031c,2018-05-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,5.88,6.21,-0.33,-5.31
41886b9a1889538a415cd98e22fc8ec041662004fbd6b26ecf62bd3e27a69951,2018-06-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,5.49,5.88,-0.39,-6.63
49f6fc06e46540b685cd0980cfde4f23d3c319c4a3b8c6422cd527d7b9427761,2018-07-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,5.93,5.49,0.44,8.01
2266e585d07c987ad89daad7472071ff2e90234e73d3d5f57ed67ba53a98d2ca,2018-08-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.37,5.93,0.44,7.42
b661c4daa0f29f76bc3d0442e6d7dfe880ff49162f466d2e5b274ee7152c3e3c,2018-09-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.03,6.37,-0.34,-5.34
fe447e29262b44634a8df0c13a14e6f0b0e2c0164b60afc81e4d61861b4dc7d8,2018-10-01,Alberta,Bacon,"Bacon, 500 grams",Dollars,6.29,6.03,0.26,4.31
